Age,Gender,Education_Level_Code,Education_Level,Job Title,Years of Experience,Salary,Country,Race,Senior,PPP_Index,Salary_PPP_Adjusted,Fake_Job_Risk
49.0,Female,1.0,Bachelors,Back end Developer,19.0,120177.0,Canada,White,0.0,1.1,109251.81818181818,0
46.0,Female,1.0,Bachelors,Back end Developer,19.0,150729.0,Canada,White,0.0,1.1,137026.36363636362,0
49.0,Female,,Bachelor's Degree,Back end Developer,19.0,120177.0,Canada,White,0.0,1.1,109251.81818181818,0
46.0,Female,,Bachelor's Degree,Back end Developer,19.0,150729.0,Canada,White,0.0,1.1,137026.36363636362,0
24.0,Male,1.0,Bachelors,Back end Developer,1.0,55935.0,China,Korean,0.0,1.0,55935.0,0
24.0,Male,,Bachelor's Degree,Back end Developer,1.0,55935.0,China,Korean,0.0,1.0,55935.0,0
25.0,Female,2.0,Masters,Back end Developer,2.0,75000.0,China,White,0.0,1.0,75000.0,0
27.0,Female,2.0,Masters,Back end Developer,2.0,70000.0,China,Korean,0.0,1.0,70000.0,0
27.0,Female,2.0,Masters,Back end Developer,2.0,70000.0,China,Chinese,0.0,1.0,70000.0,0
25.0,Male,1.0,Bachelors,Back end Developer,2.0,90249.0,China,White,0.0,1.0,90249.0,0
25.0,Male,1.0,Bachelors,Back end Developer,2.0,90249.0,China,Chinese,0.0,1.0,90249.0,0
24.0,Male,1.0,Bachelors,Back end Developer,2.0,64182.0,China,White,0.0,1.0,64182.0,0
25.0,Female,,Master's Degree,Back end Developer,2.0,75000.0,China,White,0.0,1.0,75000.0,0
27.0,Female,,Master's Degree,Back end Developer,2.0,70000.0,China,Korean,0.0,1.0,70000.0,0
27.0,Female,,Master's Degree,Back end Developer,2.0,70000.0,China,Chinese,0.0,1.0,70000.0,0
25.0,Male,,Bachelor's Degree,Back end Developer,2.0,90249.0,China,White,0.0,1.0,90249.0,0
25.0,Male,,Bachelor's Degree,Back end Developer,2.0,90249.0,China,Chinese,0.0,1.0,90249.0,0
24.0,Male,,Bachelor's Degree,Back end Developer,2.0,64182.0,China,White,0.0,1.0,64182.0,0
26.0,Female,2.0,Masters,Back end Developer,3.0,90000.0,China,Korean,0.0,1.0,90000.0,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,85000.0,China,Chinese,0.0,1.0,85000.0,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,China,Chinese,0.0,1.0,80000.0,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,China,Korean,0.0,1.0,80000.0,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,China,White,0.0,1.0,80000.0,0
26.0,Female,,Master's Degree,Back end Developer,3.0,90000.0,China,Korean,0.0,1.0,90000.0,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,85000.0,China,Chinese,0.0,1.0,85000.0,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,China,Chinese,0.0,1.0,80000.0,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,China,Korean,0.0,1.0,80000.0,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,China,White,0.0,1.0,80000.0,0
30.0,Male,1.0,Bachelors,Back end Developer,4.0,95000.0,China,Chinese,0.0,1.0,95000.0,0
27.0,Male,1.0,Bachelors,Back end Developer,4.0,82683.0,China,Chinese,0.0,1.0,82683.0,0
28.0,Male,1.0,Bachelors,Back end Developer,4.0,72389.0,China,Chinese,0.0,1.0,72389.0,0
30.0,Male,,Bachelor's Degree,Back end Developer,4.0,95000.0,China,Chinese,0.0,1.0,95000.0,0
27.0,Male,,Bachelor's Degree,Back end Developer,4.0,82683.0,China,Chinese,0.0,1.0,82683.0,0
28.0,Male,,Bachelor's Degree,Back end Developer,4.0,72389.0,China,Chinese,0.0,1.0,72389.0,0
33.0,Female,2.0,Masters,Back end Developer,5.0,110000.0,China,White,0.0,1.0,110000.0,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,China,White,0.0,1.0,100000.0,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,China,Korean,0.0,1.0,100000.0,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,China,Chinese,0.0,1.0,100000.0,0
33.0,Female,,Master's Degree,Back end Developer,5.0,110000.0,China,White,0.0,1.0,110000.0,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,China,White,0.0,1.0,100000.0,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,China,Korean,0.0,1.0,100000.0,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,China,Chinese,0.0,1.0,100000.0,0
33.0,Male,2.0,Masters,Back end Developer,6.0,130000.0,China,Korean,0.0,1.0,130000.0,0
32.0,Male,2.0,Masters,Back end Developer,6.0,130000.0,China,Chinese,0.0,1.0,130000.0,0
33.0,Male,2.0,Masters,Back end Developer,6.0,130000.0,China,Chinese,0.0,1.0,130000.0,0
32.0,Male,2.0,Masters,Back end Developer,6.0,130000.0,China,Korean,0.0,1.0,130000.0,0
31.0,Male,1.0,Bachelors,Back end Developer,6.0,95000.0,China,Chinese,0.0,1.0,95000.0,0
33.0,Male,,Master's Degree,Back end Developer,6.0,130000.0,China,Korean,0.0,1.0,130000.0,0
32.0,Male,,Master's Degree,Back end Developer,6.0,130000.0,China,Chinese,0.0,1.0,130000.0,0
33.0,Male,,Master's Degree,Back end Developer,6.0,130000.0,China,Chinese,0.0,1.0,130000.0,0
32.0,Male,,Master's Degree,Back end Developer,6.0,130000.0,China,Korean,0.0,1.0,130000.0,0
31.0,Male,,Bachelor's Degree,Back end Developer,6.0,95000.0,China,Chinese,0.0,1.0,95000.0,0
32.0,Male,2.0,Masters,Back end Developer,7.0,120000.0,China,White,0.0,1.0,120000.0,0
28.0,Male,0.0,Unknown,Back end Developer,7.0,95845.0,China,White,0.0,1.0,95845.0,0
32.0,Male,,Master's Degree,Back end Developer,7.0,120000.0,China,White,0.0,1.0,120000.0,0
28.0,Male,5.0,High School,Back end Developer,7.0,95845.0,China,White,0.0,1.0,95845.0,0
35.0,Male,1.0,Bachelors,Back end Developer,8.0,140000.0,China,Chinese,0.0,1.0,140000.0,0
31.0,Male,1.0,Bachelors,Back end Developer,8.0,100679.0,China,Chinese,0.0,1.0,100679.0,0
35.0,Male,,Bachelor's Degree,Back end Developer,8.0,140000.0,China,Chinese,0.0,1.0,140000.0,0
31.0,Male,,Bachelor's Degree,Back end Developer,8.0,100679.0,China,Chinese,0.0,1.0,100679.0,0
36.0,Male,2.0,Masters,Back end Developer,9.0,150000.0,China,Korean,0.0,1.0,150000.0,0
36.0,Male,2.0,Masters,Back end Developer,9.0,150000.0,China,White,0.0,1.0,150000.0,0
36.0,Male,,Master's Degree,Back end Developer,9.0,150000.0,China,Korean,0.0,1.0,150000.0,0
36.0,Male,,Master's Degree,Back end Developer,9.0,150000.0,China,White,0.0,1.0,150000.0,0
34.0,Male,1.0,Bachelors,Back end Developer,10.0,126593.0,China,White,0.0,1.0,126593.0,0
34.0,Male,1.0,Bachelors,Back end Developer,10.0,126520.0,China,Korean,0.0,1.0,126520.0,0
34.0,Male,1.0,Bachelors,Back end Developer,10.0,126520.0,China,Chinese,0.0,1.0,126520.0,0
34.0,Male,,Bachelor's Degree,Back end Developer,10.0,126593.0,China,White,0.0,1.0,126593.0,0
34.0,Male,,Bachelor's Degree,Back end Developer,10.0,126520.0,China,Korean,0.0,1.0,126520.0,0
34.0,Male,,Bachelor's Degree,Back end Developer,10.0,126520.0,China,Chinese,0.0,1.0,126520.0,0
38.0,Male,1.0,Bachelors,Back end Developer,14.0,136449.0,China,Korean,0.0,1.0,136449.0,0
38.0,Male,,Bachelor's Degree,Back end Developer,14.0,136449.0,China,Korean,0.0,1.0,136449.0,0
46.0,Female,1.0,Bachelors,Back end Developer,18.0,155795.0,China,White,0.0,1.0,155795.0,0
46.0,Female,,Bachelor's Degree,Back end Developer,18.0,155795.0,China,White,0.0,1.0,155795.0,0
50.0,Male,1.0,Bachelors,Back end Developer,23.0,175966.0,China,Korean,0.0,1.0,175966.0,0
50.0,Male,,Bachelor's Degree,Back end Developer,23.0,175966.0,China,Korean,0.0,1.0,175966.0,0
22.0,Female,0.0,Unknown,Back end Developer,0.0,51832.0,UK,White,0.0,1.2,43193.333333333336,0
22.0,Female,5.0,High School,Back end Developer,0.0,51832.0,UK,White,0.0,1.2,43193.333333333336,0
23.0,Male,1.0,Bachelors,Back end Developer,1.0,55000.0,UK,Asian,0.0,1.2,45833.333333333336,0
24.0,Female,1.0,Bachelors,Back end Developer,1.0,60000.0,UK,White,0.0,1.2,50000.0,0
23.0,Female,0.0,Unknown,Back end Developer,1.0,52807.0,UK,White,0.0,1.2,44005.833333333336,0
24.0,Male,1.0,Bachelors,Back end Developer,1.0,55935.0,UK,Asian,0.0,1.2,46612.5,0
24.0,Male,1.0,Bachelors,Back end Developer,1.0,55935.0,UK,White,0.0,1.2,46612.5,0
23.0,Male,,Bachelor's Degree,Back end Developer,1.0,55000.0,UK,Asian,0.0,1.2,45833.333333333336,0
24.0,Female,,Bachelor's Degree,Back end Developer,1.0,60000.0,UK,White,0.0,1.2,50000.0,0
